Unnamed: 0,Drug_dose,NP_concentration,NP size_min,NP size_max,shape,ZOI_drug,ZOI_drug_NP,MDR_check,NP_Synthesis_Chem,NP_Synthesis_Green,NP_Synthesis_Bio,gram,"min_Incub_period, h",biosafety_level,MolLogP,fr_lactam,NumAromaticHeterocycles,d_to_Micrococcus luteus,d_to_Neisseria mucosa,d_to_Candida albicans
414,500.0,30.0,8.0,20.0,1,20.0,26.0,0,0,1,0.0,-1.0,24.0,2,-8.424200000000015,0.0,0.0,14,0,18
460,500.0,30.0,8.0,20.0,1,25.0,26.0,0,0,1,0.0,-1.0,24.0,2,1.2575999999999998,0.0,1.0,14,0,18
462,500.0,30.0,8.0,20.0,1,26.0,26.0,0,0,1,0.0,-1.0,48.0,2,0.9089999999999998,0.0,0.0,14,10,18
463,500.0,30.0,8.0,20.0,1,26.0,26.0,0,0,1,0.0,-1.0,12.0,1,-3.327499999999995,0.0,0.0,14,10,18
464,500.0,30.0,8.0,20.0,1,26.0,26.0,0,0,1,0.0,-1.0,24.0,2,-7.2914000000000065,0.0,0.0,14,0,18
465,500.0,30.0,8.0,20.0,1,26.0,26.0,0,0,1,0.0,-1.0,12.0,1,-7.2914000000000065,0.0,0.0,14,10,18
466,500.0,30.0,8.0,20.0,1,26.0,26.0,0,0,1,0.0,-1.0,24.0,2,-0.24029999999999685,1.0,0.0,14,10,18
702,100.0,10.0,5.0,32.0,0,26.0,26.0,0,0,0,1.0,-1.0,48.0,2,0.4864999999999999,1.0,0.0,14,10,18
120,30.0,42.31,14.45,15.55,0,0.0,25.0,1,0,0,1.0,-1.0,12.0,2,-0.5359999999999987,1.0,1.0,14,10,18
259,500.0,30.0,8.0,20.0,1,7.0,25.0,0,0,1,0.0,-1.0,48.0,2,-8.161100000000008,0.0,0.0,14,10,18
776,5.0,10.0,14.0,42.0,0,20.0,25.0,0,0,0,1.0,-1.0,168.0,2,1.5439999999999998,0.0,1.0,14,10,18
655,,100.0,5.0,30.0,0,21.0,25.0,0,0,0,1.0,1.0,4.0,2,-0.17602999999999924,1.0,0.0,12,14,18
656,10.0,100.0,5.0,30.0,0,22.0,25.0,0,0,0,1.0,-1.0,24.0,2,-3.327499999999995,0.0,0.0,14,10,18
443,500.0,30.0,8.0,20.0,1,23.0,25.0,0,0,1,0.0,-1.0,24.0,1,0.9089999999999998,0.0,0.0,14,10,18
658,,100.0,5.0,30.0,0,23.0,25.0,0,0,0,1.0,1.0,24.0,2,-0.17602999999999924,1.0,0.0,12,14,18
449,500.0,30.0,8.0,20.0,1,24.0,25.0,0,0,1,0.0,-1.0,12.0,1,-1.2991999999999946,1.0,2.0,14,10,18
450,500.0,30.0,8.0,20.0,1,24.0,25.0,0,0,1,0.0,1.0,0.16,1,0.10620000000000512,0.0,0.0,12,14,18
451,500.0,30.0,8.0,20.0,1,24.0,25.0,0,0,1,0.0,-1.0,24.0,2,0.10620000000000512,0.0,0.0,14,0,18
454,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,-1.0,12.0,1,-4.953199999999996,1.0,1.0,14,10,18
455,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,-1.0,24.0,2,0.3736999999999999,1.0,0.0,14,10,18
456,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,-1.0,12.0,1,0.3736999999999999,1.0,0.0,14,10,18
457,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,-1.0,24.0,2,-0.21439999999999837,0.0,0.0,14,10,18
458,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,1.0,24.0,2,-0.21439999999999837,0.0,0.0,12,14,18
459,500.0,30.0,8.0,20.0,1,25.0,25.0,0,0,1,0.0,-1.0,8.0,2,-0.21439999999999837,0.0,0.0,14,10,18
696,300.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,1.0,24.0,2,0.07349999999999995,0.0,1.0,12,14,18
697,30.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,-1.0,48.0,2,1.4230200000000002,0.0,2.0,14,10,18
698,30.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,1.0,24.0,2,1.4230200000000002,0.0,2.0,12,14,18
699,25.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,-1.0,48.0,2,-0.21439999999999837,0.0,0.0,14,10,18
700,25.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,1.0,24.0,2,-0.21439999999999837,0.0,0.0,12,14,18
701,10.0,10.0,5.0,32.0,0,25.0,25.0,0,0,0,1.0,1.0,24.0,2,-3.327499999999995,0.0,0.0,12,14,18
778,30.0,10.0,14.0,42.0,0,25.0,25.0,0,0,0,1.0,1.0,24.0,2,5.6661000000000055,0.0,0.0,12,14,18
119,40.0,42.18,14.45,15.55,0,0.0,24.0,1,0,0,1.0,1.0,24.0,2,-4.953199999999996,1.0,1.0,12,14,18
388,500.0,30.0,8.0,20.0,1,18.0,24.0,0,0,1,0.0,-1.0,168.0,2,-3.4698999999999973,1.0,0.0,14,10,18
653,10.0,100.0,5.0,30.0,0,21.0,24.0,0,0,0,1.0,1.0,4.0,2,-3.327499999999995,0.0,0.0,12,14,18
654,,100.0,5.0,30.0,0,21.0,24.0,0,0,0,1.0,-1.0,24.0,2,-0.17602999999999924,1.0,0.0,14,10,18
133,20.0,42.3,14.45,15.55,0,22.0,24.0,0,0,0,1.0,-1.0,12.0,2,0.3181000000000002,1.0,0.0,14,10,18
430,500.0,30.0,8.0,20.0,1,22.0,24.0,0,0,1,0.0,-1.0,168.0,2,0.9089999999999998,0.0,0.0,14,10,18
431,500.0,30.0,8.0,20.0,1,22.0,24.0,0,0,1,0.0,-1.0,24.0,1,-0.21439999999999837,0.0,0.0,14,10,18
444,500.0,30.0,8.0,20.0,1,24.0,24.0,0,0,1,0.0,-1.0,8.0,2,-8.424200000000015,0.0,0.0,14,10,18
445,500.0,30.0,8.0,20.0,1,24.0,24.0,0,0,1,0.0,-1.0,12.0,1,-1.198999999999999,1.0,2.0,14,10,18
446,500.0,30.0,8.0,20.0,1,24.0,24.0,0,0,1,0.0,-1.0,24.0,2,-1.1722999999999981,0.0,0.0,14,10,18
447,500.0,30.0,8.0,20.0,1,24.0,24.0,0,0,1,0.0,-1.0,12.0,1,-0.24029999999999685,1.0,0.0,14,10,18
448,500.0,30.0,8.0,20.0,1,24.0,24.0,0,0,1,0.0,-1.0,24.0,2,-8.161100000000008,0.0,0.0,14,10,18
695,10.0,10.0,5.0,32.0,0,24.0,24.0,0,0,0,1.0,-1.0,48.0,2,-3.327499999999995,0.0,0.0,14,10,18
428,500.0,30.0,8.0,20.0,1,22.0,23.0,0,0,1,0.0,-1.0,24.0,1,0.3736999999999999,1.0,0.0,14,10,18
429,500.0,30.0,8.0,20.0,1,22.0,23.0,0,0,1,0.0,-1.0,8.0,2,-7.2914000000000065,0.0,0.0,14,10,18
777,30.0,10.0,14.0,42.0,0,22.0,23.0,0,0,0,1.0,1.0,24.0,2,1.5833,0.0,1.0,12,14,18
433,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,24.0,2,-8.424200000000015,0.0,0.0,14,10,18
434,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,24.0,2,-8.424200000000015,0.0,0.0,14,10,18
435,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,12.0,2,-4.953199999999996,1.0,1.0,14,10,18
436,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,24.0,2,-3.327499999999995,0.0,0.0,14,10,18
437,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,1.0,0.16,1,-7.2914000000000065,0.0,0.0,12,14,18
438,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,12.0,2,-8.161100000000008,0.0,0.0,14,10,18
439,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,24.0,1,-8.161100000000008,0.0,0.0,14,10,18
440,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,12.0,1,-8.161100000000008,0.0,0.0,14,10,18
441,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,24.0,2,0.10620000000000512,0.0,0.0,14,10,18
442,500.0,30.0,8.0,20.0,1,23.0,23.0,0,0,1,0.0,-1.0,8.0,2,0.10620000000000512,0.0,0.0,14,10,18
693,300.0,10.0,5.0,32.0,0,23.0,23.0,0,0,0,1.0,-1.0,48.0,2,0.07349999999999995,0.0,1.0,14,10,18
694,30.0,10.0,5.0,32.0,0,23.0,23.0,0,0,0,1.0,1.0,24.0,2,-8.424200000000015,0.0,0.0,12,14,18
146,1.0,42.17,14.45,15.55,0,33.0,23.0,0,0,0,1.0,1.0,24.0,2,1.89532,1.0,1.0,12,14,18
118,30.0,42.21,14.45,15.55,0,0.0,22.0,1,0,0,1.0,1.0,24.0,2,-0.5359999999999987,1.0,1.0,12,14,18
319,500.0,30.0,8.0,20.0,1,14.0,22.0,0,0,1,0.0,-1.0,24.0,2,-8.424200000000015,0.0,0.0,14,10,18
387,500.0,30.0,8.0,20.0,1,18.0,22.0,0,0,1,0.0,-1.0,168.0,2,0.10620000000000512,0.0,0.0,14,10,18
412,500.0,30.0,8.0,20.0,1,20.0,22.0,0,0,1,0.0,-1.0,24.0,1,-3.327499999999995,0.0,0.0,14,10,18
413,500.0,30.0,8.0,20.0,1,20.0,22.0,0,0,1,0.0,-1.0,24.0,1,-7.2914000000000065,0.0,0.0,14,10,18
652,,100.0,5.0,30.0,0,20.0,22.0,0,0,0,1.0,-1.0,48.0,2,-0.17602999999999924,1.0,0.0,14,10,18
879,10.0,10.0,20.0,20.0,0,20.0,22.0,0,0,1,0.0,1.0,24.0,2,-3.327499999999995,0.0,0.0,12,14,18
423,500.0,30.0,8.0,20.0,1,21.0,22.0,0,0,1,0.0,-1.0,12.0,1,-0.21439999999999837,0.0,0.0,14,10,18
132,30.0,42.14,14.45,15.55,0,22.0,22.0,0,0,0,1.0,-1.0,48.0,2,-1.2435999999999974,0.0,0.0,14,10,18
424,500.0,30.0,8.0,20.0,1,22.0,22.0,0,0,1,0.0,-1.0,12.0,2,0.9089999999999998,0.0,0.0,14,10,18
425,500.0,30.0,8.0,20.0,1,22.0,22.0,0,0,1,0.0,-1.0,12.0,1,0.9089999999999998,0.0,0.0,14,10,18
426,500.0,30.0,8.0,20.0,1,22.0,22.0,0,0,1,0.0,-1.0,24.0,2,-7.2914000000000065,0.0,0.0,14,10,18
427,500.0,30.0,8.0,20.0,1,22.0,22.0,0,0,1,0.0,-1.0,24.0,2,-8.161100000000008,0.0,0.0,14,10,18
719,10.0,10.0,5.0,40.0,0,12.0,21.0,0,0,0,1.0,-1.0,48.0,2,0.3181000000000002,1.0,0.0,14,10,18
739,10.0,,5.0,40.0,0,12.0,21.0,0,0,0,1.0,-1.0,48.0,2,0.3181000000000002,1.0,0.0,14,10,18
646,10.0,100.0,5.0,30.0,0,15.0,21.0,0,0,0,1.0,1.0,24.0,2,-3.327499999999995,0.0,0.0,12,14,18
651,10.0,100.0,5.0,30.0,0,19.0,21.0,0,0,0,1.0,1.0,240.0,1,1.5833,0.0,1.0,0,14,18
878,10.0,10.0,20.0,20.0,0,19.0,21.0,0,0,1,0.0,1.0,24.0,2,0.9089999999999998,0.0,0.0,12,14,18
417,500.0,30.0,8.0,20.0,1,21.0,21.0,0,0,1,0.0,1.0,0.16,1,-1.2991999999999946,1.0,2.0,12,14,18
418,500.0,30.0,8.0,20.0,1,21.0,21.0,0,0,1,0.0,-1.0,8.0,2,0.9089999999999998,0.0,0.0,14,10,18
419,500.0,30.0,8.0,20.0,1,21.0,21.0,0,0,1,0.0,-1.0,24.0,2,-1.1722999999999981,0.0,0.0,14,10,18
420,500.0,30.0,8.0,20.0,1,21.0,21.0,0,0,1,0.0,-1.0,168.0,2,-1.1722999999999981,0.0,0.0,14,10,18
421,500.0,30.0,8.0,20.0,1,21.0,21.0,0,0,1,0.0,-1.0,168.0,2,4.335420000000004,0.0,0.0,14,10,18
422,500.0,30.0,8.0,20.0,1,21.0,21.0,0,0,1,0.0,-1.0,12.0,2,-0.21439999999999837,0.0,0.0,14,10,18
258,500.0,30.0,8.0,20.0,1,7.0,20.0,0,0,1,0.0,1.0,0.16,1,1.2575999999999998,0.0,1.0,12,14,18
294,500.0,30.0,8.0,20.0,1,11.0,20.0,0,0,1,0.0,1.0,0.16,1,0.07349999999999995,0.0,1.0,12,14,18
717,10.0,10.0,5.0,40.0,0,11.0,20.0,0,0,0,1.0,-1.0,168.0,2,0.3181000000000002,1.0,0.0,14,10,18
737,10.0,,5.0,40.0,0,11.0,20.0,0,0,0,1.0,-1.0,168.0,2,0.3181000000000002,1.0,0.0,14,10,18
644,,100.0,5.0,30.0,0,12.0,20.0,0,0,0,1.0,-1.0,24.0,2,-0.17602999999999924,1.0,0.0,14,10,18
771,50.0,10.0,14.0,42.0,0,13.0,20.0,0,0,0,1.0,-1.0,168.0,2,0.9089999999999998,0.0,0.0,14,10,18
337,500.0,30.0,8.0,20.0,1,15.0,20.0,0,0,1,0.0,-1.0,24.0,1,-8.424200000000015,0.0,0.0,14,10,18
774,5.0,10.0,14.0,42.0,0,15.0,20.0,0,0,0,1.0,-1.0,12.0,2,1.5439999999999998,0.0,1.0,14,10,18
354,500.0,30.0,8.0,20.0,1,16.0,20.0,0,0,1,0.0,-1.0,24.0,1,1.785600000000004,0.0,0.0,14,10,18
649,,100.0,5.0,30.0,0,16.0,20.0,0,0,0,1.0,1.0,24.0,2,-0.17602999999999924,1.0,0.0,12,14,18
368,500.0,30.0,8.0,20.0,1,17.0,20.0,0,0,1,0.0,-1.0,168.0,2,-0.21439999999999837,0.0,0.0,14,10,18
386,500.0,30.0,8.0,20.0,1,18.0,20.0,0,0,1,0.0,-1.0,168.0,2,-4.953199999999996,1.0,1.0,14,10,18
650,,100.0,5.0,30.0,0,18.0,20.0,0,0,0,1.0,1.0,240.0,1,-0.17602999999999924,1.0,0.0,0,14,18
128,1.0,42.7,14.45,15.55,0,19.0,20.0,0,0,0,1.0,-1.0,48.0,2,1.89532,1.0,1.0,14,10,18
392,500.0,30.0,8.0,20.0,1,19.0,20.0,0,0,1,0.0,-1.0,12.0,2,-8.424200000000015,0.0,0.0,14,10,18
393,500.0,30.0,8.0,20.0,1,19.0,20.0,0,0,1,0.0,-1.0,24.0,1,-1.1722999999999981,0.0,0.0,14,10,18
394,500.0,30.0,8.0,20.0,1,19.0,20.0,0,0,1,0.0,-1.0,24.0,2,-0.21439999999999837,0.0,0.0,14,10,18
395,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,1.0,0.16,1,-8.424200000000015,0.0,0.0,12,14,18
396,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,12.0,1,-8.424200000000015,0.0,0.0,14,10,18
397,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,12.0,1,0.023700000000000443,1.0,0.0,14,10,18
398,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,1.0,24.0,2,-4.953199999999996,1.0,1.0,12,14,18
399,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,12.0,2,-1.2991999999999946,1.0,2.0,14,10,18
400,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,24.0,2,-1.2991999999999946,1.0,2.0,14,10,18
401,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,24.0,2,-1.2991999999999946,1.0,2.0,14,10,18
402,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,8.0,2,-1.2991999999999946,1.0,2.0,14,10,18
403,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,12.0,2,-1.198999999999999,1.0,2.0,14,10,18
404,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,12.0,1,-1.1722999999999981,0.0,0.0,14,10,18
405,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,8.0,2,1.785600000000004,0.0,0.0,14,10,18
406,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,1.0,0.16,1,-3.327499999999995,0.0,0.0,12,14,18
407,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,24.0,2,-3.327499999999995,0.0,0.0,14,10,18
408,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,12.0,1,-3.4698999999999973,1.0,0.0,14,10,18
409,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,8.0,2,-0.24029999999999685,1.0,0.0,14,10,18
410,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,24.0,2,4.335420000000004,0.0,0.0,14,10,18
411,500.0,30.0,8.0,20.0,1,20.0,20.0,0,0,1,0.0,-1.0,24.0,2,-8.161100000000008,0.0,0.0,14,10,18
716,10.0,10.0,5.0,40.0,0,11.0,19.0,0,0,0,1.0,1.0,24.0,2,0.3181000000000002,1.0,0.0,12,14,18
736,10.0,,5.0,40.0,0,11.0,19.0,0,0,0,1.0,1.0,24.0,2,0.3181000000000002,1.0,0.0,12,14,18
309,500.0,30.0,8.0,20.0,1,13.0,19.0,0,0,1,0.0,-1.0,8.0,2,0.07349999999999995,0.0,1.0,14,10,18
721,10.0,10.0,5.0,40.0,0,13.0,19.0,0,0,0,1.0,-1.0,168.0,2,-7.2914000000000065,0.0,0.0,14,10,18
