,Unnamed: 0,Bacteria,NP_Synthesis,Drug,Drug_class_drug_bank,Drug_dose,NP_concentration,NP size_min,NP size_max,NP size_avg,shape,method,ZOI_drug,ZOI_NP,ZOI_drug_NP,fold_increase_in_antibacterial_activity (%),MDR_check
54,760,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,,,20.0,40.0,30.0,spherical,MIC,500,,31.25,,1
55,761,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,,,20.0,40.0,30.0,spherical,MIC,500,,31.25,,1
56,762,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,,,20.0,40.0,30.0,spherical,MIC,500,,31.25,,1
57,763,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,,,20.0,40.0,30.0,spherical,MIC,500,,31.25,,1
58,265,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Nitrofurantoin,Azolidines,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,8,,31,14.0,0
59,849,Pseudomonas aeruginosa,green_synthesis from fungus  Phytophthora infestans,Gentamicin,Aminoglycosides,,,5.0,80.0,60.0,spherical,disc_diffusion,21,14,31,,0
60,850,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,Vancomycin,Carboxylic acids and derivatives,,,5.0,80.0,60.0,spherical,disc_diffusion,21,14,31,,0
61,723,Salmonella  typhi,green_synthesis  using fungus Trichoderma,Erythromycin,Organooxygen compounds,10.0,10,5.0,40.0,13.0,spherical,disc_diffusion,24,,31,0.2917,0
62,743,Salmonella  typhi,green_synthesis from fungus Trichoderma viride,Erythromycin,Organooxygen compounds,10.0,,5.0,40.0,18.0,spherical,disc_diffusion,24,,31,0.2917,0
63,855,Pseudomonas aeruginosa,green_synthesis from fungus  Phytophthora infestans,cefazolin,Lactams,,,5.0,80.0,60.0,spherical,disc_diffusion,23,12,30,,0
64,856,Pseudomonas aeruginosa,green_synthesis from fungus  Phytophthora infestans,Vancomycin,Carboxylic acids and derivatives,,,5.0,80.0,60.0,spherical,disc_diffusion,24,14,30,,0
65,474,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Cefotaxime,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,30,,30,0.0,0
66,475,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,30,,30,0.0,0
67,476,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,Aminoglycosides,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,30,,30,0.0,0
68,477,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,30,,30,0.0,0
69,857,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,cefazolin,Lactams,,,5.0,80.0,60.0,spherical,disc_diffusion,25,13,29,,0
70,660,Staphylococcus aureus,green_synthesis from fungus  Aspergillus flavus,ciprofloxacin,"
Quinolines and derivatives",10.0,100,5.0,30.0,21.0,spherical,disc_diffusion,28,16,29,0.07,0
71,473,Escherichia coli,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,29,,29,0.0,0
72,706,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Cefixime ,Lactams,5.0,10,5.0,32.0,22.5,spherical,disc_diffusion,29,,29,0.0,0
73,126,Salmonella enterica,green_synthesis using Ulva fasciata ,Neomycin,NC,30.0,170/85/42.29,14.45,15.55,15.0,spherical,disc_diffusion,14,,28,,0
74,127,Salmonella enterica,green_synthesis using Ulva fasciata ,Gentamicin,Aminoglycosides,10.0,170/85/42.26,14.45,15.55,15.0,spherical,disc_diffusion,17,,28,,0
75,845,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,Tetracycline,Tetracyclines,,,5.0,80.0,60.0,spherical,disc_diffusion,18,17,28,,0
76,131,Salmonella enterica,green_synthesis using Ulva fasciata ,Cefotaxime,Lactams,40.0,170/85/42.28,14.45,15.55,15.0,spherical,disc_diffusion,21,,28,,0
77,722,Escherichia coli,green_synthesis  using fungus Trichoderma,Chloramphenicol,Benzene and substituted derivatives,10.0,10,5.0,40.0,13.0,spherical,disc_diffusion,22,,28,0.2727,0
78,742,Escherichia coli,green_synthesis from fungus Trichoderma viride,Chloramphenicol,Benzene and substituted derivatives,10.0,,5.0,40.0,18.0,spherical,disc_diffusion,22,,28,0.2727,0
79,852,Escherichia coli,green_synthesis from fungus  Phytophthora infestans,cefazolin,Lactams,,,5.0,80.0,60.0,spherical,disc_diffusion,22,20,28,,0
80,136,Staphylococcus aureus,green_synthesis using Ulva fasciata ,Gentamicin,Aminoglycosides,10.0,170/85/42.16,14.45,15.55,15.0,spherical,disc_diffusion,27,,28,,0
81,471,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Doxycycline,Tetracyclines,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,28,,28,0.0,0
82,472,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,28,,28,0.0,0
83,704,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Carbenicillin ,Carboxylic acids and derivatives,100.0,10,5.0,32.0,22.5,spherical,disc_diffusion,28,,28,0.0,0
84,705,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Cefixime ,Lactams,5.0,10,5.0,32.0,22.5,spherical,disc_diffusion,28,,28,0.0,0
85,144,Escherichia coli,green_synthesis using Ulva fasciata ,Gentamicin,Aminoglycosides,10.0,170/85/42.6,14.45,15.55,15.0,spherical,disc_diffusion,31,,28,,0
86,415,Salmonella  typhi,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,20,,27,0.8,0
87,847,Pseudomonas aeruginosa,green_synthesis from fungus  Phytophthora infestans,Tetracycline,Tetracyclines,,,5.0,80.0,60.0,spherical,disc_diffusion,20,13,27,,0
88,848,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,Neomycin,NC,,,5.0,80.0,60.0,spherical,disc_diffusion,20,13.5,27,,0
89,461,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Erythromycin,Organooxygen compounds,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,25,,27,0.2,0
90,468,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,27,,27,0.0,0
91,469,Pseudomonas aeruginosa,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,Aminoglycosides,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,27,,27,0.0,0
92,470,Escherichia coli,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,27,,27,0.0,0
93,703,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Amikacin,"
Organooxygen compounds",30.0,10,5.0,32.0,22.5,spherical,disc_diffusion,27,,27,0.0,0
94,414,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,"
Organooxygen compounds",500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,20,,26,0.7,0
95,854,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,Gentamicin,Aminoglycosides,,,5.0,80.0,60.0,spherical,disc_diffusion,23,13,26,,0
96,460,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Trimethoprim,Phenol ethers,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,25,,26,0.1,0
97,462,Escherichia coli,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,26,,26,0.0,0
98,463,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,Aminoglycosides,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,26,,26,0.0,0
99,464,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,Organooxygen compounds,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,26,,26,0.0,0
100,465,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,Organooxygen compounds,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,26,,26,0.0,0
101,466,Pseudomonas aeruginosa,green_synthesis using Dioscorea bulbifera tuber extract ,Piperacillin,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,26,,26,0.0,0
102,702,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Carbenicillin ,Carboxylic acids and derivatives,100.0,10,5.0,32.0,22.5,spherical,disc_diffusion,26,,26,0.0,0
103,120,Salmonella enterica,green_synthesis using Ulva fasciata ,Cefuroxime,Lactams,30.0,170/85/42.31,14.45,15.55,15.0,spherical,disc_diffusion,0,,25,,1
104,259,Escherichia coli,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,7,,25,11.8,0
105,776,Salmonella  typhi,green_synthesis  by Bacillus sp.,Levofloxacin,"
Quinolines and derivatives",5.0,10,14.0,42.0,28.0,spherical,disc_diffusion,20,13,25,0.56,0
106,655,Bacillus spp.        ,green_synthesis from fungus  Aspergillus flavus,Imipenem,Lactams,,100,5.0,30.0,21.0,spherical,disc_diffusion,21,15,25,0.42,0
107,656,Klebsiella pneumoniae,green_synthesis from fungus  Aspergillus flavus,Gentamicin,Aminoglycosides,10.0,100,5.0,30.0,21.0,spherical,disc_diffusion,22,14,25,0.29,0
108,443,Pseudomonas koreensis,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,23,,25,0.2,0
109,658,Staphylococcus aureus,green_synthesis from fungus  Aspergillus flavus,Imipenem,Lactams,,100,5.0,30.0,21.0,spherical,disc_diffusion,23,16,25,0.18,0
110,449,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,24,,25,0.1,0
111,450,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,24,,25,0.0,0
112,451,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,24,,25,0.1,0
113,454,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Cefotaxime,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,25,,25,0.0,0
114,455,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,25,,25,0.0,0
115,456,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,25,,25,0.0,0
116,457,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,25,,25,0.0,0
117,458,Staphylococcus aureus,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,25,,25,0.0,0
118,459,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,25,,25,0.0,0
119,696,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Nitrofurantoin,Azolidines,300.0,10,5.0,32.0,22.5,spherical,disc_diffusion,25,,25,0.0,0
120,697,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Nalidixic acid,"
Diazanaphthalenes",30.0,10,5.0,32.0,22.5,spherical,disc_diffusion,25,,25,0.0,0
121,698,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Nalidixic acid,"
Diazanaphthalenes",30.0,10,5.0,32.0,22.5,spherical,disc_diffusion,25,,25,0.0,0
122,699,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Tetracycline,Tetracyclines,25.0,10,5.0,32.0,22.5,spherical,disc_diffusion,25,,25,0.0,0
123,700,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Tetracycline,Tetracyclines,25.0,10,5.0,32.0,22.5,spherical,disc_diffusion,25,,25,0.0,0
124,701,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Gentamicin,Aminoglycosides,10.0,10,5.0,32.0,22.5,spherical,disc_diffusion,25,,25,0.0,0
125,778,Staphylococcus epidermidis,green_synthesis  by Bacillus sp.,Fusidic acid ,"
Steroids and steroid derivatives",30.0,10,14.0,42.0,28.0,spherical,disc_diffusion,25,15,25,0.0,0
126,135,Escherichia coli,green_synthesis using Ulva fasciata ,Neomycin,NC,30.0,170/85/42.9,14.45,15.55,15.0,spherical,disc_diffusion,27,,25,,0
127,142,Staphylococcus aureus,green_synthesis using Ulva fasciata ,Neomycin,NC,30.0,170/85/42.19,14.45,15.55,15.0,spherical,disc_diffusion,30,,25,,0
128,119,Staphylococcus aureus,green_synthesis using Ulva fasciata ,Cefotaxime,Lactams,40.0,170/85/42.18,14.45,15.55,15.0,spherical,disc_diffusion,0,,24,,1
129,843,Escherichia coli,green_synthesis from fungus  Phytophthora infestans,mupirocin,Fatty Acyls,,,5.0,80.0,60.0,spherical,disc_diffusion,0,21,24,,1
130,388,Salmonella  typhi,green_synthesis using Dioscorea bulbifera tuber extract ,Penicillin,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,18,,24,0.8,0
131,653,Bacillus spp.        ,green_synthesis from fungus  Aspergillus flavus,Gentamicin,Aminoglycosides,10.0,100,5.0,30.0,21.0,spherical,disc_diffusion,21,15,24,0.31,0
132,654,Klebsiella pneumoniae,green_synthesis from fungus  Aspergillus flavus,Imipenem,Lactams,,100,5.0,30.0,21.0,spherical,disc_diffusion,21,14,24,0.31,0
133,133,Salmonella enterica,green_synthesis using Ulva fasciata ,Ampicillin,Lactams,20.0,170/85/42.30,14.45,15.55,15.0,spherical,disc_diffusion,22,,24,,0
134,430,Salmonella  typhi,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,22,,24,0.2,0
135,431,Pseudomonas koreensis,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,22,,24,0.2,0
136,444,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,"
Organooxygen compounds",500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,24,,24,0.0,0
137,445,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftriaxone,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,24,,24,0.0,0
138,446,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Doxycycline,Tetracyclines,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,24,,24,0.0,0
139,447,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Piperacillin,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,24,,24,0.0,0
140,448,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,24,,24,0.0,0
141,695,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Gentamicin,Aminoglycosides,10.0,10,5.0,32.0,22.5,spherical,disc_diffusion,24,,24,0.0,0
142,428,Pseudomonas koreensis,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,22,,23,0.1,0
143,429,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,Organooxygen compounds,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,22,,23,0.1,0
