Tax_id,Bacteria,kingdom,subkingdom,clade,phylum,class,order,family,genus,species,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from
['90370'],Salmonella typhi,Bacteria,,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood
['90371'],Salmonella typhimurium,Bacteria,,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat
['615'],Salmonella typhimurium ,Bacteria,,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,n,2,7,12,30,2,water
['618'],Serratia odorifera,Bacteria,,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,,0,,30,1,soil
['1280'],Staphylococcus aureus,Bacteria,,Terrabacteria group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin
['1282'],Staphylococcus epidermidis,Bacteria,,Terrabacteria group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,24,36,48,37,2,nose
['29385'],Staphylococcus saprophyticus,Bacteria,,Terrabacteria group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,p,18,21,24,30,2,urine
['1296'],Staphylococcus sciuri,Bacteria,,Terrabacteria group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Staphylococcus sciuri,p,18,33,48,37,1,skin
['29387'],Staphylococcus sp.,Bacteria,,Terrabacteria group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus,p,1,3.5,6,37,2,skin
['1309'],Streptococcus mutans,Bacteria,,Terrabacteria group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine
['1313'],Streptococcus pneumoniae,Bacteria,,Terrabacteria group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,p,24,36,48,37,2,respiratory tract
['1314'],Streptococcus pyogenes,Bacteria,,Terrabacteria group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,p,24,36,48,37,2,mouth
['1349'],Streptococcus uberis,Bacteria,,Terrabacteria group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus uberis,p,24,36,48,37,2,mammary gland
['78535'],Streptococcus viridans,Bacteria,,Terrabacteria group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus viridans,p,168,252,336,37,1,mouth
['5544'],Trichoderma harzianum,Fungi,Dikarya,Opisthokonta,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma harzianum,,48,84,120,30,1,soil
['47278'],Trichothecium roseum,Fungi,Dikarya,Opisthokonta,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales incertae sedis,Trichothecium,Trichothecium roseum,,48,108,168,30,1,wood
['666'],Vibrio cholerae,Bacteria,,,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,n,48,60,72,30,2,water
['670'],Vibrio parahaemolyticus,Bacteria,,,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water
